Code,Name,Description,,,,,
2288,NMSC,ATM. Balance Inquiry Remote Onus BERSAMA,,,,,
2301,NMSC,ATM. Cash Withdrawal.Remote On Us,,,,,
2302,NMSC,ATM. Balance Inquiry.Remote On Us,,,,,
2303,NMSC,ATM. Mini Stmt. Inquiry.Remote On Us,,,,,
2306,NMSC,ATM. Adhoc Stmt. Request.Remote On Us,,,,,
2307,NMSC,ATM. Chq. Book Issue Req. Remote On Us,,,,,
2312,NMSC,ATM. Off Us Notification,,,,,
2313,NMSC,POS PURCHASE REMOTE ON-US,,,,,
2319,NMSC,POS.Normal Purchase Off us Notification,,,,,
2320,NMSC,POS.Void Off us Notification,,,,,
2321,NMSC,Cash Withdrawal over Mobile,,,,,
2322,NMSC,Cash Withdrawal over Mobile,,,,,
2323,NMSC,Purchase over Mobile ,,,,,
2324,NMSC,ATM. ORFT. Debit.Remote On Us,,,,,
2325,NMSC,ATM. ORFT. Credit.Remote On Us,,,,,
2326,NMSC,ATM. ORFT. Credit.Remote On Us DR,,,,,
2327,NMSC,ATM.ORFT Credit Remote On Us CR,,,,,
2328,NMSC,ATM.Bill Payment Debit.Remote On Us,,,,,
2329,NMSC,Bill Payment over Mobile,,,,,
2330,NMSC,Bill Payment over IVR,,,,,
2331,NMSC,ATM.Cash withdraw Remote onus,,,,,
2332,NMSC,ATM.Revolving Loan.Balance Inquiry.Remote On Us,,,,,
2333,NMSC,Bill Payment Adira Quantum Loan,,,,,
2334,NMSC,ATM. Funds Xfer.LN Debit.Remote On Us,,,,,
2335,NMSC,ATM. Funds Xfer. Loan Credit.Remote On Us,,,,,
2336,NMSC,"Bill Payment Adira Quantum Loan via ATM BCA, Post Office",,,,,
2337,NMSC,Bill Payment Adira Quantum Loan Debit On Us,,,,,
2339,NMSC,ATM. Adira Quantum Loan Inquiry,,,,,
2340,NMSC,Fedi. Savings. Debit. Onus,,,,,
2345,NMSC,Fedi. Credit. Onus,,,,,
2352,NMSC,ATM. Loan Cash Deposit.Remote On Us,,,,,
2353,NMSC,ATM. Cash Withdrawal Remote Onus MASTER ,,,,,
2354,NMSC,ATM. Balance Inquiry Remote Onus MASTER,,,,,
2361,NMSC,ATM. Cash Withdrawal Remote Onus VisaPLUS,,,,,
2362,NMSC,ATM. Balance Inquiry Remote Onus VisaPLUS,,,,,
2375,NMSC,POS. Normal Purchase. Debit Remote On us,,,,,
2376,NMSC,POS. Merchandise Return. Remote On us,,,,,
2378,NMSC,ATM. Cash Withdrawal.Settlement Remote On Us,,,,,
2379,NMSC,POS. Normal Purchase.Settlement Debit Remote On us,,,,,
2380,NMSC,ATM. Cash Withdrawal.Earmark Remote On Us,,,,,
2381,NMSC,POS. Normal Purchase.Earmark Debit Remote On us,,,,,
2391,NMSC,ATM. Cash Withdrawal.Remote On Us MSC,,,,,
2457,NMSC,ZENGIN KUMIMODOSHI,,,,,
2466,NMSC,Sending Branch name same as Receiving Branch Name,,,,,
2500,NMSC,Deposit Transaction,,,,,
2501,NMSC,Deposit Maintenance,,,,,
2502,NMSC,Deposit Reversal Transaction,,,,,
2503,NMSC,Regular Deposit Redemption Transaction,,,,,
2504,NMSC,Regular Deposit Redemption Reversal,,,,,
2505,NMSC,Matured Deposit Redemption Transaction,,,,,
2506,NMSC,Matured Deposit Redemption Reversal,,,,,
2507,NMSC,Matured Deposit Renewal Transaction,,,,,
2508,NMSC,Matured Deposit Renewal Reversal,,,,,
2511,NMSC,Penalty Capitalization,,,,,
2601,NMSC,TBS. Balance Inquiry,,,,,
2602,NMSC,TBS. Mini Statement,,,,,
2605,NMSC,TBS. Adhoc Statement Request,,,,,
2607,NMSC,TBS. TD. Balance Inquiry,,,,,
2608,NMSC,TBS. LN. Inquiry,,,,,
2610,NMSC,TBS. TDS. Inquiry,,,,,
2611,NMSC,TBS. Currency Exchange Inquiry,,,,,
2612,NMSC,TBS. TD. Rate Inquiry,,,,,
2613,NMSC,TBS. Stop Cheque,,,,,
2619,NMSC,TCB Bill Payment (Against Account),,,,,
2622,NMSC,Debit/ReverseDebit Miscellaneous Customer,,,,,
2623,NMSC,Credit/ReverseCredit Miscellaneous Customer,,,,,
2660,NMSC,Installment Payment By GL.,,,,,
2661,NMSC,Earmark Transaction,,,,,
2663,NMSC,GEFU TD Bulk Payin,,,,,
2671,NMSC,IB Misc Debit,,,,,
2672,NMSC,IB Misc Credit,,,,,
2673,NMSC,Miscellaneous Customer Debit,,,,,
2674,NMSC,Miscellaneous Customer Debit,,,,,
2675,NMSC,Miscellaneous Customer Debit,,,,,
2676,NMSC,Miscellaneous Customer Debit,,,,,
2678,NMSC,ATM ACC Bill Payment Debit.On Us,,,,,
2701,NMSC,ATM. Cash Withdrawal.On Us MSC,,,,,
2767,NMSC,ATM. Cash Withdrawal Remote Onus PRIMA MSC,,,,,
2783,NMSC,ATM. Cash Withdrawal Remote Onus ALTO MSC,,,,,
2785,NMSC,ATM. Cash Withdrawal Remote Onus BERSAMA MSC,,,,,
2803,NMSC,Trust Redemption/LN. Disbursement Debit,,,,,
2804,NMSC,Trust Redemption/LN. Disbursement Credit,,,,,
2853,NMSC,ATM. Cash Withdrawal Remote Onus MASTER  MSC,,,,,
